edinet_code,ticker,name_ja,name_en,industry,listed,search_text
E00119,19640,中外炉工業株式会社,"Chugai Ro Co.,Ltd.",Construction,True,"中外炉工業株式会社 chugai ro co.,ltd. 19640"
E00120,18520,株式会社淺沼組,ASANUMA CORPORATION,Construction,True,株式会社淺沼組 asanuma corporation 18520
E00121,18260,佐田建設株式会社,"Sata Construction Co.,Ltd.",Construction,True,"佐田建設株式会社 sata construction co.,ltd. 18260"
E00127,,日本電通株式会社,Nippon Dentsu Co.,Others,False,日本電通株式会社 nippon dentsu co. 
E00129,,ＮＤＳ株式会社,NDS Corporation,Others,False,ｎｄｓ株式会社 nds corporation 
E00130,18530,株式会社　森組,"Mori-Gumi Co., Ltd.",Construction,True,"株式会社　森組 mori-gumi co., ltd. 18530"
E00133,18970,金下建設株式会社,"The Kaneshita Construction Co.,Ltd.",Construction,True,"金下建設株式会社 the kaneshita construction co.,ltd. 18970"
E00135,,新生テクノス株式会社,"shinsei technos co., ltd.",Construction,False,"新生テクノス株式会社 shinsei technos co., ltd. "
E00137,19340,株式会社ユアテック,YURTEC CORPORATION,Construction,True,株式会社ユアテック yurtec corporation 19340
E00138,19670,株式会社ヤマト,YAMATO CORPORATION,Construction,True,株式会社ヤマト yamato corporation 19670
E00142,19290,日特建設株式会社,"NITTOC CONSTRUCTION CO.,LTD.",Construction,True,"日特建設株式会社 nittoc construction co.,ltd. 19290"
E00143,19280,積水ハウス株式会社,"Sekisui House,Ltd.",Construction,True,"積水ハウス株式会社 sekisui house,ltd. 19280"
E00144,,松尾建設株式会社,"matsuo construction co.,ltd.",Construction,False,"松尾建設株式会社 matsuo construction co.,ltd. "
E00146,19590,株式会社九電工,KYUDENKO CORPORATION,Construction,True,株式会社九電工 kyudenko corporation 19590
E00147,18600,戸田建設株式会社,TODA CORPORATION,Construction,True,戸田建設株式会社 toda corporation 18600
E00148,18700,矢作建設工業株式会社,"YAHAGI CONSTRUCTION CO.,LTD.",Construction,True,"矢作建設工業株式会社 yahagi construction co.,ltd. 18700"
E00149,19690,高砂熱学工業株式会社,"Takasago Thermal Engineering Co., Ltd.",Construction,True,"高砂熱学工業株式会社 takasago thermal engineering co., ltd. 19690"
E00153,19750,株式会社朝日工業社,"ASAHI KOGYOSHA CO.,LTD.",Construction,True,"株式会社朝日工業社 asahi kogyosha co.,ltd. 19750"
E00156,,大林道路株式会社,OBAYASHI ROAD CORPORATION,Construction,False,大林道路株式会社 obayashi road corporation 
E00157,81570,都築電気株式会社,"TSUZUKI DENKI CO., LTD.",Wholesale Trade,True,"都築電気株式会社 tsuzuki denki co., ltd. 81570"
E00161,19760,明星工業株式会社,"MEISEI INDUSTRIAL Co.,Ltd.",Construction,True,"明星工業株式会社 meisei industrial co.,ltd. 19760"
E00165,88360,株式会社ＲＩＳＥ,RISE Inc.,Real Estate,True,株式会社ｒｉｓｅ rise inc. 88360
E00167,18070,株式会社佐藤渡辺,"WATANABE SATO CO., LTD.",Construction,True,"株式会社佐藤渡辺 watanabe sato co., ltd. 18070"
E00168,19820,日比谷総合設備株式会社,"Hibiya Engineering,Ltd.",Construction,True,"日比谷総合設備株式会社 hibiya engineering,ltd. 19820"
E00169,,株式会社竹中工務店,TAKENAKA CORPORATION,Construction,False,株式会社竹中工務店 takenaka corporation 
E00170,,株式会社ヤマダ・エスバイエルホーム,"YAMADA SXL HOME CO.,LTD.",Construction,False,"株式会社ヤマダ・エスバイエルホーム yamada sxl home co.,ltd. "
E00173,19600,株式会社サンテック,Sanyo Engineering & Construction Inc.,Construction,True,株式会社サンテック sanyo engineering & construction inc. 19600
E00174,,青木あすなろ建設株式会社,"Asunaro Aoki Construction Co.,Ltd.",Construction,False,"青木あすなろ建設株式会社 asunaro aoki construction co.,ltd. "
E00175,18660,北野建設株式会社,KITANO CONSTRUCTION CORP.,Construction,True,北野建設株式会社 kitano construction corp. 18660
E00176,18980,世紀東急工業株式会社,"SEIKITOKYU KOGYO CO.,LTD.",Construction,True,"世紀東急工業株式会社 seikitokyu kogyo co.,ltd. 18980"
E00178,,日成ビルド工業株式会社,"NISSEI BUILD KOGYO CO.,LTD.",Construction,False,"日成ビルド工業株式会社 nissei build kogyo co.,ltd. "
E00179,18670,株式会社植木組,UEKI  CORPORATION,Construction,True,株式会社植木組 ueki  corporation 18670
E00181,19390,株式会社四電工,YONDENKO CORPORATION,Construction,True,株式会社四電工 yondenko corporation 19390
E00182,19920,神田通信機株式会社,"KANDA TSUSHINKI CO.,LTD.",Construction,True,"神田通信機株式会社 kanda tsushinki co.,ltd. 19920"
E00183,19790,株式会社大気社,Taikisha Ltd.,Construction,True,株式会社大気社 taikisha ltd. 19790
E00184,,西部電気工業株式会社,"Seibu Electric Industry Co.,Ltd.",Construction,False,"西部電気工業株式会社 seibu electric industry co.,ltd. "
E00185,19380,日本リーテック株式会社,"NIPPON RIETEC CO.,LTD.",Construction,True,"日本リーテック株式会社 nippon rietec co.,ltd. 19380"
E00187,97670,日建工学株式会社,"NIKKEN KOGAKU CO., LTD.",Services,True,"日建工学株式会社 nikken kogaku co., ltd. 97670"
E00189,19810,株式会社協和日成,"KYOWANISSEI CO.,LTD.",Construction,True,"株式会社協和日成 kyowanissei co.,ltd. 19810"
E00191,,シーキューブ株式会社,C-Cube Corporation,Others,False,シーキューブ株式会社 c-cube corporation 
E00193,,株式会社ＴＴＫ,"TTK Co., Ltd.",Construction,False,"株式会社ｔｔｋ ttk co., ltd. "
E00194,19800,ダイダン株式会社,"DAI-DAN CO.,LTD.",Construction,True,"ダイダン株式会社 dai-dan co.,ltd. 19800"
E00196,18990,株式会社福田組,FUKUDA CORPORATION,Construction,True,株式会社福田組 fukuda corporation 18990
E00197,18730,株式会社日本ハウスホールディングス,"NIHON HOUSE HOLDINGS CO., LTD.",Construction,True,"株式会社日本ハウスホールディングス nihon house holdings co., ltd. 18730"
E00198,,株式会社ＳＹＳＫＥＮ,SYSKEN Corporation,Construction,False,株式会社ｓｙｓｋｅｎ sysken corporation 
E00200,,東芝プラントシステム株式会社,TOSHIBA PLANT SYSTEMS & SERVICES CORPORATION,Construction,False,東芝プラントシステム株式会社 toshiba plant systems & services corporation 
E00201,18690,名工建設株式会社,"MEIKO CONSTRUCTION CO.,LTD.",Construction,True,"名工建設株式会社 meiko construction co.,ltd. 18690"
E00202,,三信建設工業株式会社,SANSHIN CORPORATION,Construction,False,三信建設工業株式会社 sanshin corporation 
E00204,19140,日本基礎技術株式会社,"japan foundation engineering co.,ltd.",Construction,True,"日本基礎技術株式会社 japan foundation engineering co.,ltd. 19140"
E00207,19300,北陸電気工事株式会社,"hokuriku electrical construction co.,ltd.",Construction,True,"北陸電気工事株式会社 hokuriku electrical construction co.,ltd. 19300"
E00208,97430,株式会社丹青社,"tanseisha co.,ltd.",Services,True,"株式会社丹青社 tanseisha co.,ltd. 97430"
E00209,19660,株式会社　高田工業所,TAKADA CORPORATION,Construction,True,株式会社　高田工業所 takada corporation 19660
E00210,,ＮＥＣネッツエスアイ株式会社,NEC Networks & System Integration Corporation,Information & Communication,False,ｎｅｃネッツエスアイ株式会社 nec networks & system integration corporation 
E00211,,株式会社ソルコム,Solcom Co.,Others,False,株式会社ソルコム solcom co. 
E00213,,北陸電話工事株式会社,"Hokuriku Denwa Kouji Co.,Ltd.",Construction,False,"北陸電話工事株式会社 hokuriku denwa kouji co.,ltd. "
E00218,18780,大東建託株式会社,"DAITO TRUST CONSTRUCTION CO.,LTD.",Construction,True,"大東建託株式会社 daito trust construction co.,ltd. 18780"
E00221,18790,新日本建設株式会社,SHINNIHON CORPORATION,Construction,True,新日本建設株式会社 shinnihon corporation 18790
E00222,19940,高橋カーテンウォール工業株式会社,TAKAHASHI  CURTAIN  WALL  CORPORATION,Construction,True,高橋カーテンウォール工業株式会社 takahashi  curtain  wall  corporation 19940
E00225,19650,株式会社テクノ菱和,TECHNO RYOWA LTD.,Construction,True,株式会社テクノ菱和 techno ryowa ltd. 19650
E00227,19520,新日本空調株式会社,"Shin Nippon Air Technologies Co., Ltd.",Construction,True,"新日本空調株式会社 shin nippon air technologies co., ltd. 19520"
E00231,,株式会社細田工務店,HOSODA CORPORATION,Construction,False,株式会社細田工務店 hosoda corporation 
E00232,19050,株式会社テノックス,tenox corporation,Construction,True,株式会社テノックス tenox corporation 19050
E00233,19040,大成温調株式会社,"taisei oncho co.,ltd.",Construction,True,"大成温調株式会社 taisei oncho co.,ltd. 19040"
E00235,,三井ホーム株式会社,"Mitsui Home Co.,Ltd.",Construction,False,"三井ホーム株式会社 mitsui home co.,ltd. "
E00238,18480,株式会社富士ピー・エス,FUJI P.S CORPORATION,Construction,True,株式会社富士ピー・エス fuji p.s corporation 18480
E00239,18440,株式会社大盛工業,"OHMORI CO.,LTD.",Construction,True,"株式会社大盛工業 ohmori co.,ltd. 18440"
E00240,18400,株式会社土屋ホールディングス,"TSUCHIYA HOLDINGS CO., LTD.",Construction,True,"株式会社土屋ホールディングス tsuchiya holdings co., ltd. 18400"
E00242,18280,田辺工業株式会社,TANABE ENGINEERING CORPORATION,Construction,True,田辺工業株式会社 tanabe engineering corporation 18280
E00246,19970,暁飯島工業株式会社,"AKATSUKI EAZIMA CO., LTD.",Construction,True,"暁飯島工業株式会社 akatsuki eazima co., ltd. 19970"
E00248,19990,サイタホールディングス株式会社,SAITA CORPORATION,Construction,True,サイタホールディングス株式会社 saita corporation 19990
E00250,17990,第一建設工業株式会社,DAIICHI KENSETSU CORPORATION,Construction,True,第一建設工業株式会社 daiichi kensetsu corporation 17990
E00251,17980,株式会社守谷商会,MORIYA CORPORATION,Construction,True,株式会社守谷商会 moriya corporation 17980
E00252,,東邦電気工業株式会社,"TOHO ELECTRICAL CONSTRUCTION CO., LTD.",Construction,False,"東邦電気工業株式会社 toho electrical construction co., ltd. "
E00253,,株式会社藤木工務店,"Fujiki Komuten Co.,Ltd.",Construction,False,"株式会社藤木工務店 fujiki komuten co.,ltd. "
E00254,17950,株式会社マサル,MASARU CORPORATION,Construction,True,株式会社マサル masaru corporation 17950
E00255,17930,株式会社大本組,"OHMOTO GUMI CO.,LTD",Construction,True,"株式会社大本組 ohmoto gumi co.,ltd 17930"
E00258,,株式会社ＥＴＳホールディングス,"ETS Holdings Co.,Ltd.",Construction,False,"株式会社ｅｔｓホールディングス ets holdings co.,ltd. "
E00259,17880,株式会社三東工業社,"santo co.,ltd",Construction,True,"株式会社三東工業社 santo co.,ltd 17880"
E00260,17870,株式会社ナカボーテック,"Nakabohtec Corrosion Protecting Co.,Ltd.",Construction,True,"株式会社ナカボーテック nakabohtec corrosion protecting co.,ltd. 17870"
E00263,17830,株式会社ｆａｎｔａｓｉｓｔａ,"Fantasista Co., Ltd.",Construction,True,"株式会社ｆａｎｔａｓｉｓｔａ fantasista co., ltd. 17830"
E00264,,大鉄工業株式会社,Daitsu Industry Co.,Others,False,大鉄工業株式会社 daitsu industry co. 
E00265,,東光電気工事株式会社,"TOKO ELECTRICAL CONSTRUCTION CO., LTD.",Construction,False,"東光電気工事株式会社 toko electrical construction co., ltd. "
E00267,,常磐開発株式会社,"Joban Kaihatsu Co.,Ltd.",Construction,False,"常磐開発株式会社 joban kaihatsu co.,ltd. "
E00268,17800,株式会社　ヤマウラ,YAMAURA CORPORATION,Construction,True,株式会社　ヤマウラ yamaura corporation 17800
E00271,17770,川崎設備工業株式会社,"KAWASAKI SETSUBI KOGYO CO., LTD.",Construction,True,"川崎設備工業株式会社 kawasaki setsubi kogyo co., ltd. 17770"
E00272,17760,三井住建道路株式会社,"SUMIKEN MITSUI ROAD CO.,LTD.",Construction,True,"三井住建道路株式会社 sumiken mitsui road co.,ltd. 17760"
E00273,,富士電機Ｅ＆Ｃ株式会社,FUJI ELECTRIC ENGINEERING & CONSTRUCTION CO.LTD.,Construction,False,富士電機ｅ＆ｃ株式会社 fuji electric engineering & construction co.ltd. 
E00276,17710,日本乾溜工業株式会社,"NIPPON  KANRYU  INDUSTRY  CO.,LTD.",Construction,True,"日本乾溜工業株式会社 nippon  kanryu  industry  co.,ltd. 17710"
E00277,17700,藤田エンジニアリング株式会社,"FUJITA ENGINEERING CO.,LTD.",Construction,True,"藤田エンジニアリング株式会社 fujita engineering co.,ltd. 17700"
E00279,17680,株式会社ソネック,SONEC CORPORATION,Construction,True,株式会社ソネック sonec corporation 17680
E00281,17660,東建コーポレーション株式会社,TOKEN CORPORATION,Construction,True,東建コーポレーション株式会社 token corporation 17660
E00282,17640,工藤建設株式会社,KUDO CORPORATION,Construction,True,工藤建設株式会社 kudo corporation 17640
E00285,17620,株式会社髙松コンストラクショングループ,TAKAMATSU CONSTRUCTION GROUP,Construction,True,株式会社髙松コンストラクショングループ takamatsu construction group 17620
E00287,17580,太洋基礎工業株式会社,"Taiyo Kisokogyo Co.,Ltd.",Construction,True,"太洋基礎工業株式会社 taiyo kisokogyo co.,ltd. 17580"
E00288,17570,株式会社創建エース,"Souken Ace Co., Ltd",Construction,True,"株式会社創建エース souken ace co., ltd 17570"
E00299,17430,コーアツ工業株式会社,"KOATSU KOGYO CO., LTD.",Construction,True,"コーアツ工業株式会社 koatsu kogyo co., ltd. 17430"
E00302,,株式会社メルディアＤＣ,Meldia DC Co.,Others,False,株式会社メルディアｄｃ meldia dc co. 
E00303,,三井金属エンジニアリング株式会社,"MESCO,Inc.",Construction,False,"三井金属エンジニアリング株式会社 mesco,inc. "
E00304,17360,株式会社　オーテック,OTEC CORPORATION,Construction,True,株式会社　オーテック otec corporation 17360
E00306,,株式会社北弘電社,KITAKOUDENSHACorporation,Construction,False,株式会社北弘電社 kitakoudenshacorporation 
E00308,,麻生フオームクリート株式会社,"ASO FOAM CRETE Co.,Ltd.",Construction,False,"麻生フオームクリート株式会社 aso foam crete co.,ltd. "
E00309,,ミサワホーム中国株式会社,Misawa Homes China Co.,Others,False,ミサワホーム中国株式会社 misawa homes china co. 
E00311,89040,株式会社ＡＶＡＮＴＩＡ,"AVANTIA CO., LTD.",Real Estate,True,"株式会社ａｖａｎｔｉａ avantia co., ltd. 89040"
E00312,17260,株式会社ビーアールホールディングス,Br.Holdings Corporation,Construction,True,株式会社ビーアールホールディングス br.holdings corporation 17260
E00313,17230,日本電技株式会社,"NIHON DENGI CO., LTD.",Construction,True,"日本電技株式会社 nihon dengi co., ltd. 17230"
E00315,17180,美樹工業株式会社,"MIKIKOGYO CO.,LTD.",Construction,True,"美樹工業株式会社 mikikogyo co.,ltd. 17180"
E00316,17200,東急建設株式会社,"TOKYU CONSTRUCTION CO.,LTD.",Construction,True,"東急建設株式会社 tokyu construction co.,ltd. 17200"
E00317,17190,株式会社安藤・間,HAZAMA ANDO CORPORATION,Construction,True,株式会社安藤・間 hazama ando corporation 17190
E00318,,ミサワホーム株式会社,Misawa Homes Co.,Others,False,ミサワホーム株式会社 misawa homes co. 
E00320,17160,第一カッター興業株式会社,DAI-ICHI CUTTER KOGYO K.K.,Construction,True,第一カッター興業株式会社 dai-ichi cutter kogyo k.k. 17160
E00322,17210,コムシスホールディングス株式会社,COMSYS Holdings Corporation,Construction,True,コムシスホールディングス株式会社 comsys holdings corporation 17210
E00323,14010,株式会社エムビーエス,"mbs,inc.",Construction,True,"株式会社エムビーエス mbs,inc. 14010"
E00325,,株式会社ヒノキヤグループ,"Hinokiya Group Co.,Ltd.",Construction,False,"株式会社ヒノキヤグループ hinokiya group co.,ltd. "
E00327,14070,株式会社ウエストホールディングス,West Holdings corporation,Construction,True,株式会社ウエストホールディングス west holdings corporation 14070
E00329,14140,ショーボンドホールディングス株式会社,"SHO-BOND Holdings Co.,  Ltd.",Construction,True,"ショーボンドホールディングス株式会社 sho-bond holdings co.,  ltd. 14140"
E00331,22640,森永乳業株式会社,"MORINAGA MILK INDUSTRY CO.,LTD",Foods,True,"森永乳業株式会社 morinaga milk industry co.,ltd 22640"
E00334,22820,日本ハム株式会社,NH Foods Ltd.,Foods,True,日本ハム株式会社 nh foods ltd. 22820
E00335,22810,プリマハム株式会社,"Prima Meat Packers, Ltd.",Foods,True,"プリマハム株式会社 prima meat packers, ltd. 22810"
E00336,,伊藤ハム株式会社,Itoham Corporation,Others,False,伊藤ハム株式会社 itoham corporation 
E00337,22660,六甲バター株式会社,"ROKKO BUTTER CO., LTD.",Foods,True,"六甲バター株式会社 rokko butter co., ltd. 22660"
E00340,,米久株式会社,Yonekyu Corporation,Others,False,米久株式会社 yonekyu corporation 
E00341,22910,福留ハム株式会社,"FUKUTOME MEAT PACKERS, LTD.",Foods,True,"福留ハム株式会社 fukutome meat packers, ltd. 22910"
